Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
3M - Alexandria,Nitrogen Oxides,19.378,84.948,84.948
,Sulfur Dioxide,0.06635,0.418617,0.418617
,Carbon Monoxide,5.923,25.8818,30.1028
,PM < 10 micron,2.57789,11.3084,11.3184
,PM < 2.5 micron,2.14,9.42,9.42
3M - Cottage Grove,Nitrogen Oxides,0.5,2.21,2.21
,Carbon Monoxide,0.42,1.86,1.86
3M - Cottage Grove - Abrasive Systems Division,Nitrogen Oxides,64.284,281.576,242.676
,Sulfur Dioxide,0.62,2.72,0.16
,Carbon Monoxide,3.26,14.22,5.81
,PM < 10 micron,23.57,103.296,85.026
,PM < 2.5 micron,0.24,1.066,0.176
3M - Cottage Grove - Bldg 133/Traffic Safety,Nitrogen Oxides,4.13,15.68,
,Sulfur Dioxide,0.02,0.08,
,Carbon Monoxide,2.81,12.31,
,PM < 10 micron,7.572,33.19,
3M - Cottage Grove - Corporate Incinerator,Nitrogen Oxides,47.73,209,209
,Sulfur Dioxide,68.18,298.6,95
,Carbon Monoxide,15.29,67,67
,PM < 10 micron,4.59,"1,468.7",20.1
,PM < 2.5 micron,4.59,"1,468.7",20.1
3M - Cottage Grove - Specialty Additives,Nitrogen Oxides,24.84,66.28,66.28
,Sulfur Dioxide,24.58,105.02,105.02
,Carbon Monoxide,4.47,11.11,11.11
,PM < 10 micron,130.38,768.284,280.964
,PM < 2.5 micron,1.793,7.86,7.72
3M - Cottage Grove - Tape Manufacturing,Nitrogen Oxides,18.06,,79.12
,Sulfur Dioxide,0.0494,,0.22
,Carbon Monoxide,7,,37.18
,PM < 10 micron,1.338,,4.32
3M - Cottage Grove - Utilities/Support Svcs,Nitrogen Oxides,2.49,10.91,0.62
,Sulfur Dioxide,0.16,0.7,0.04
,Carbon Monoxide,0.54,2.37,0.14
,PM < 10 micron,0.17,0.74,0.04
3M - Hutchinson Tape Manufacturing Plant,Nitrogen Oxides,163.451,715.929000000,567.559
,Sulfur Dioxide,374.806175,"1,674.843","1,124.793"
,Carbon Monoxide,70.053,307.229,284.339
,PM < 10 micron,93.18728,523.187,322.887
,PM < 2.5 micron,0.09,0.39,0.39
3M - Maplewood,Nitrogen Oxides,330.3,"1,316.523","1,037.37"
,Sulfur Dioxide,73.1830639,190.330016,189.844016
,Carbon Monoxide,120.77,498.07,495.45
,PM < 10 micron,23.31,73.47,73.33
,PM < 2.5 micron,15.87,54.26,54.12
3M - R & D Facility - Maplewood Bldg 201,Nitrogen Oxides,,4.615,4.615
,Sulfur Dioxide,,0.333,0.333
,Carbon Monoxide,,24.315,24.315
,PM < 10 micron,38.12,"1,531.014",22.345
,PM < 2.5 micron,38.12,"1,488.63",5.45
Abbott Northwestern Hospital,Nitrogen Oxides,236.73,187.95,42.35
,Sulfur Dioxide,0.39,1.4,0.07
,Carbon Monoxide,64.48,92.89,16.54
,PM < 10 micron,7.68,16.31,1.49
,PM < 2.5 micron,6.5,11.59,1.49
ACME Brick Great Lakes Plant,Nitrogen Oxides,15.74,68.94,68.94
,Sulfur Dioxide,78.39,343.02,232.3
,Carbon Monoxide,25.49,111.41,111.39
,PM < 10 micron,31.222,131.15,131.13
,PM < 2.5 micron,5.935,27.71,17.26
Acuity Brands Lighting dba Winona Lighting Inc,Nitrogen Oxides,2.03599,8.9082,8.9082
,Sulfur Dioxide,"11,400.0122688",0.054256,0.054256
,Carbon Monoxide,1.52478,6.67797,6.67797
,PM < 10 micron,16.938991,225.04719,1.48119
,PM < 2.5 micron,16.938991,225.04719,1.48119
ADM - Mankato,Nitrogen Oxides,230.388,962.453,924.453
,Sulfur Dioxide,234.686,"1,027.279","1,026.259"
,Carbon Monoxide,439.66,722.66,654.26
,PM < 10 micron,"3,041.12","12,236.612","11,775.51"
ADM - Red Wing,Nitrogen Oxides,38.64,169.24,169.24
,Sulfur Dioxide,184.251,807.021,807.02
,Carbon Monoxide,12.6,55.188,55.19
,PM < 10 micron,"1,730.37","7,586.818",421.06
,PM < 2.5 micron,1.19,12.95,3.29
ADM Corn Processing - Marshall,Nitrogen Oxides,91.28,473.18,327.71
,Sulfur Dioxide,73.023,"1,047",316.181
,Carbon Monoxide,144.1,"1,498.76",616.975
,PM < 10 micron,45.8345,"3,276.34",189.083
,PM < 2.5 micron,35.3598,619.0999,52.7292
Advanced Disposal Services Rolling Hills Landfill,Nitrogen Oxides,2.6,11.4,11.4
,Sulfur Dioxide,1,4.4,4.4
,Carbon Monoxide,48.8,213.8,213.8
,PM < 10 micron,1.2,4.8,4.8
Ag Processing Inc - Dawson,Nitrogen Oxides,19.188,104.693,66.7
,Sulfur Dioxide,20.468,848.143,86.352
,Carbon Monoxide,6.5536,50.632,21.786
,PM < 10 micron,30.453875,"1,677.805",107.088
,PM < 2.5 micron,7.839178,252.37,30.489
Aggregate Industries Inc - Yard A,Nitrogen Oxides,1.569,6.87,1.22
,Sulfur Dioxide,0.009,0.04,0.01
,Carbon Monoxide,1.318,5.77,1.03
,PM < 10 micron,6.669,48.32,28.79
Agra Resources LLC dba POET Biorefining -Glenville,Nitrogen Oxides,56.48,239.83,239.88
,Sulfur Dioxide,0.479,1.88,1.59
,Carbon Monoxide,28.31,687.63,123
,PM < 10 micron,214.96,"1,517.14",146.01
,PM < 2.5 micron,12.99,124.51,50.59
Agri-Energy,Nitrogen Oxides,30.32,166.14,74.5
,Sulfur Dioxide,0.185,0.79,0.55
,Carbon Monoxide,18.56,396.24,79.22
,PM < 10 micron,12.85,599.73,36.74
,PM < 2.5 micron,7.895,517.25,31.08
AI-Corn Clean Fuel,Nitrogen Oxides,181.406,797.99,82.86
,Sulfur Dioxide,22.76,167.05,42.5
,Carbon Monoxide,65.67,302.66,109.39
,PM < 10 micron,32.88,184.18,104.91
ALLIANCE PIPELINE - ALBERT LEA 25-A,Nitrogen Oxides,90.24,327.49,266.492
,Sulfur Dioxide,1.42,6.1972,6.1809823
,Carbon Monoxide,26.6,225.4,122.715
,PM < 10 micron,2.74,12.5478,12.0124
,PM < 2.5 micron,2.74,12.5478,12.0124
Alliance Pipeline LP,Nitrogen Oxides,59.6,138.78,138.78
,Sulfur Dioxide,0.70786,3.081964,3.081964
,Carbon Monoxide,63.1,70.72,70.72
,PM < 10 micron,1.66,6.000648,6.0648
,PM < 2.5 micron,1.66,6.0648,6.0648
Alumacraft Boat Co,Nitrogen Oxides,0.39,1.69,1.69
,Sulfur Dioxide,0.00214,0.015,0.015
,Carbon Monoxide,0.32,1.42,1.42
,PM < 10 micron,23.38,"1,118.57",15.84
,PM < 2.5 micron,23.38,"1,118.57",15.84
American Crystal Sugar - Crookston,Nitrogen Oxides,761.44,"3,335.04","3,333.6"
,Sulfur Dioxide,836.249,"3,662.74","3,662.74"
,Carbon Monoxide,683.72,"2,995.4","2,818.24"
,PM < 10 micron,331.76,"1,453.31","1,453.31"
,PM < 2.5 micron,217.739,955.109,951.749
American Crystal Sugar - East Grand Forks,Nitrogen Oxides,995.35,"4,359.64","4,299.44"
,Sulfur Dioxide,"1,639.34","7,186.35","6,986.66"
,Carbon Monoxide,989.39,"4,333.19","4,005.67"
,PM < 10 micron,311.16,"91,266.434","1,373.69"
,PM < 2.5 micron,240.290512,"82,353.764","1,063.932242"
,Hydrogen Sulfide (H2S),0.48,2.12,
American Crystal Sugar - Moorhead,Nitrogen Oxides,545.767,"2,390.4609","2,390.4609"
,Sulfur Dioxide,979.652,"5,013.39346","4,290.86866"
,Carbon Monoxide,347.205,"1,520.7027","1,520.7027"
,PM < 10 micron,290.770714282,"3,599.157088566","1,273.587328566"
AmeriPride Services Inc - Hibbing,Nitrogen Oxides,1.115,4.882,4.882
,Sulfur Dioxide,0.007,0.029,0.029
,Carbon Monoxide,0.935,4.101,4.101
,PM < 10 micron,0.085,0.371,0.371
,PM < 2.5 micron,0.085,0.371,0.371
AmeriPride Services Inc - Mankato,Nitrogen Oxides,2.833,12.45,12.45
,Sulfur Dioxide,0.32,1.43,1.43
,Carbon Monoxide,1.64,7.19,7.19
,PM < 10 micron,0.153,0.67,0.67
,PM < 2.5 micron,0.153,0.67,0.67
AmeriPride Services Inc - Minneapolis,Nitrogen Oxides,8.47868,25.09703,25.09703
,Sulfur Dioxide,0.038,0.14751,0.14751
,Carbon Monoxide,6.58708,20.95108,20.95108
,PM < 10 micron,2.53227,2.30707,2.30707
,PM < 2.5 micron,1.46127,2.30707,2.30707
AmeriPride Services Inc - Saint Cloud,Nitrogen Oxides,4,17.6,17.6
,Sulfur Dioxide,0.443,2.02,2.02
,Carbon Monoxide,2.32,10.19,10.19
,PM < 10 micron,1.11,4.84,4.84
,PM < 2.5 micron,1.11,4.84,4.84
AMPI - Rochester,Nitrogen Oxides,157,674.43,23
,Sulfur Dioxide,351.78,"1,472.83",2.38
,Carbon Monoxide,38.36,168.02,6.12
,PM < 10 micron,32.34,136.71,36.26
,PM < 2.5 micron,23.193,98.354,34.754
Anchor Glass Container Corp,Nitrogen Oxides,488.26,"2,138.58","2,036.18"
,Sulfur Dioxide,257.16,"1,126.32","1,072.3"
,Carbon Monoxide,28.8,126.1,120.48
