CAS#,Pollutant,Multimedia Factor Chemicals,Persistent Bioaccumulative Toxicants,Respiratory Sensitizers,Developmental Toxicants
75-07-0,Acetaldehyde,,,,
60-35-5,Acetamide,,,,
75-86-5   ,Acetone Cyanohydrin   ,,,,
75-05-8,Acetonitrile,,,,
107-02-8,Acrolein,,,,
79-06-1,Acrylamide,,,,
79-10-7,Acrylic acid,,,,
107-13-1,Acrylonitrile,,,,
111-69-3   ,Adiponitrile   ,,,,
00-07-9,Aldehydes,,,,
309-00-2,Aldrin,,,,
VARIOUS,Aliphatic Hydrocarbon Streams (Midrange),X,X,,
75-85-4,"Amyl Alcohol, tert-",,,,
107-05-1,Allyl chloride,,,,
7429-90-5    ,Aluminum   ,,,,
117-79-3,"Aminoanthraquinone, 2-",,,,
7664-41-7,Ammonia,,,,
62-53-3,Aniline,,,,
191-26-4,Anthanthrene,,,,
7440-36-0,Antimony  ,X,X,,
0-00-1,Antimony Compounds,,X,,
1309-64-4,Antimony trioxide,,,,
140-57-8,Aramite,,,,
7440-38-2,Arsenic,,,,
0-00-2,Arsenic Compounds ,,X,,X
1327-53-3,Arsenic Trioxide,,X,,X
7784-42-1,Arsine,,X,,
123-77-3,Azodicarbonamide,,,,
71-43-2,Benzene,,,,
92-87-5,Benzidine,,,,X
202-94-8,"11H-Benz[b,c]aceanthrylene",,,,
199-54-2,Benz[e]aceanthrylene,,X,,
202-33-5,Benz[j]aceanthryIene,,X,,
211-91-6,Benz[l]aceanthryIene,,X,,
205-82-3,Benzo(j)fluoranthene,,X,,
207-08-09,Benzo(k)fluoranthene,,X,,
56-55-3,Benzo[a]anthracene,X,X,,
50-32-8,Benzo[a]pyrene,X,X,,
205-99-2,Benzo[b]fluoranthene,X,X,,
205-12-9,Benzo[c]fluorene,X,X,,
191-24-2,"Benzo[g,h,i]perylene",,X,,
100-44-7,Benzyl chloride,,X,,
7440-41-7,Beryllium,,,,
0-00-3,Beryllium Compounds,,,X,
92-52-4,"Biphenyl, 1,1-",,,X,
117-81-7,Bis(2-ethylhexyl)phthalate (DEHP),,,,
542-88-1,Bis(chloromethyl)ether,,,,
10294-34-5,Boron Trichloride,,,,
108-86-1,Bromobenzene,,,,
74-97-5,Bromochloromethane,,,,
75-25-2,Bromoform,,,,
106-94-5,"Bromopropane, 1-",,,,
106-99-0,"Butadiene, 1,3-",,,,X
78-92-2    ,"Butyl alcohol, sec-   ",,,,
111-76-2,Butyl Cellosolve (ethylene glycol monobutyl ether),,,,X
7440-43-9,Cadmium,,,,
0-00-4,Cadmium Compounds,,,,
105-60-2,Caprolactum,,,,
75-15-0,Carbon disulfide,,,,
630-08-0,Carbon Monoxide,,,,X
56-23-5,Carbon tetrachloride,,,,
463-58-1,Carbonyl sulfide,,,,X
111-15-9,Cellosolve Acetate (ethylene glycol monoethyl ether acetate),,,,
1306-38-3,Cerium Oxide and Cerium Compounds,,,,X
12789-03-6,Chlordane or (57-74-9),,,,
108171-26-2,"Chlorinated Paraffins (C12, 60% Chlorine)",X,X,,
7782-50-5,Chlorine,,,,
10049-04-4,Chlorine Oxide (CLO2),,,,
75-68-3,"Chloro-1,1-difluoroethane, 1- (HCFC-142b)",,,,
532-27-4,"Chloroacetophenone, 2-",,,,
108-90-7,Chlorobenzene,,,,
98-56-6   ,"Chlorobenzotrifluoride, 4-   ",,,,
75-45-6,Chlorodifluoromethane (HCFC-22),,,,
67-66-3,Chloroform,,,,
88-73-3,"Chloronitrobenzene, o-   ",,,,X
100-00-5   ,"Chloronitrobenzene, p-   ",,,,
95-83-0,"Chloro-o-phenylenediamine, 4-",,,,
95-69-2,"Chloro-o-toluidine, p-",,,,
76-06-2,Chloropicrin,,,,
126-99-8,Chloroprene,,,,
7440-47-3,Chromium,,,,
