"CAS#","Pollutant","Acute Toxic Endpoints","Subchronic Toxic Endpoints","Chronic Non-cancer Endpoints","Multimedia Factor Chemicals","Persistent Bioaccumulative Toxicants","Respiratory Sensitizers","Developmental Toxicants"
"202-94-8","11H-Benz[b,c]aceanthrylene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"202-98-2","4H-Cyclopenta[d,e,f]chrysene",NA,"",NA,FALSE,TRUE,FALSE,FALSE
"75-07-0","Acetaldehyde","Eyes , Resp","","Resp",FALSE,FALSE,FALSE,FALSE
"60-35-5","Acetamide",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"64-19-7","Acetic Acid","Ethanol specific",NA,"Ethanol specific",NA,NA,NA,NA
"75-86-5","Acetone Cyanohydrin",NA,"Resp",NA,FALSE,FALSE,FALSE,FALSE
"75-05-8","Acetonitrile",NA,"","Systemic",FALSE,FALSE,FALSE,FALSE
"107-02-8","Acrolein","Resp , Eyes","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"79-06-1","Acrylamide",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"79-10-7","Acrylic acid","Resp , Eyes","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"107-13-1","Acrylonitrile",NA,"","Resp",FALSE,FALSE,FALSE,FALSE
"111-69-3","Adiponitrile",NA,"Blood","Blood",FALSE,FALSE,FALSE,FALSE
"00-07-9","Aldehydes","Resp , Eyes","","Resp",FALSE,FALSE,FALSE,FALSE
"309-00-2","Aldrin",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"VARIOUS","Aliphatic Hydrocarbon Streams (Midrange)",NA,"","Resp",TRUE,TRUE,FALSE,FALSE
"107-05-1","Allyl chloride",NA,"Neuro","Neuro",FALSE,FALSE,FALSE,FALSE
"7429-90-5","Aluminum",NA,"","Neuro",FALSE,FALSE,FALSE,FALSE
"117-79-3","Aminoanthraquinone, 2-",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"7664-41-7","Ammonia","Resp , Eyes","Resp","Resp",FALSE,FALSE,FALSE,FALSE
"75-85-4","Amyl Alcohol, tert-",NA,"Liver",NA,FALSE,FALSE,FALSE,FALSE
"62-53-3","Aniline",NA,"","Systemic",FALSE,FALSE,FALSE,FALSE
"191-26-4","Anthanthrene",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"7440-36-0","Antimony",NA,"","Resp",TRUE,TRUE,FALSE,FALSE
"0-00-1","Antimony Compounds",NA,"","Resp",FALSE,TRUE,FALSE,FALSE
"1309-64-4","Antimony trioxide",NA,"Resp","Resp",FALSE,FALSE,FALSE,FALSE
"140-57-8","Aramite",NA,"",NA,FALSE,FALSE,FALSE,FALSE
"7440-38-2","Arsenic","Neuro , Cardio , Repro","","Repro , Cardio , Neuro, Skin",FALSE,FALSE,FALSE,FALSE
"0-00-2","Arsenic Compounds","Repro , Cardio , Neuro","","Repro , Cardio , Neuro, Skin",FALSE,TRUE,FALSE,TRUE
"1327-53-3","Arsenic Trioxide","Repro , Cardio , Neuro","","Repro , Cardio , Neuro, Skin",FALSE,TRUE,FALSE,TRUE
"7784-42-1","Arsine","Blood","Blood","Blood",FALSE,TRUE,FALSE,FALSE
