"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"1-hr","1","103924","70528","57366","52015","45370","41857","37954","34262","31127","28522","24091","20590","17816","15594","13789","10523","8368","6862","5762","4281","3344","2707","2251","1910","1647","924","451","168","92","59"
"1-hr","2","72044","56776","40135","26921","19020","14509","12763","11696","11113","10733","9800","8885","8425","7903","7378","6189","5309","4601","4022","3157","2556","2122","1797","1547","1351","787","386","143","79","51"
"1-hr","3","59051","48424","38037","31159","25763","22426","19653","17028","14575","12478","9142","6756","5221","4323","3939","3456","3176","2923","2672","2230","1905","1647","1438","1267","1126","692","354","133","74","48"
"1-hr","4","85665","32760","26988","22242","19094","16634","14454","12411","11471","10678","9399","8423","7509","6641","5834","4162","3011","2301","1895","1552","1382","1236","1108","997","909","603","328","129","71","47"
"1-hr","5","52405","23451","20275","17000","14621","12817","11468","10319","9167","8073","7184","6508","5958","5501","5112","4284","3556","2916","2372","1599","1180","963","852","781","723","510","301","126","71","47"
"1-hr","6","31949","14659","13718","12124","10592","9326","8406","7613","6951","6450","5457","4919","4565","4267","4010","3501","3118","2783","2455","1858","1389","1043","814","672","588","432","278","128","75","50"
"1-hr","7","21101","16974","8985","8275","7521","6825","6206","5690","5306","4961","4364","3772","3461","3234","3038","2647","2351","2140","1971","1657","1352","1080","858","690","567","337","246","126","78","53"
"1-hr","8","14643","13453","6344","5844","5292","4910","4559","4242","3957","3700","3258","2879","2586","2431","2295","2045","1856","1703","1577","1379","1205","1029","861","708","578","276","197","120","78","55"
"1-hr","9","10451","10404","5876","4392","4181","3939","3688","3450","3232","3033","2693","2413","2182","2028","1924","1731","1580","1457","1355","1193","1070","959","845","732","623","246","163","106","75","56"
"1-hr","10","7915","7887","5997","3549","3419","3267","3091","2917","2752","2599","2330","2105","1916","1755","1644","1470","1333","1221","1128","980","884","807","737","665","593","271","137","85","67","53"
"1-hr","11","6055","6040","5335","2852","2811","2670","2537","2409","2285","2168","1958","1780","1629","1499","1387","1230","1122","1043","978","874","793","728","673","624","572","316","115","75","54","46"
"1-hr","12","4814","4814","4629","3386","2421","2327","2197","2069","1973","1880","1712","1566","1440","1332","1237","1073","984","911","848","747","673","620","576","539","505","322","98","65","49","39"
