CAS,Pollutant,Tox Value Source,Unit Risk (ug/m3)-1,10-5 Cancer-based Air Conc (ug/m3),Additional ADAF Analysis Needed,Source or Explanation
60-35-5,Acetamide,CAL EPA,0.00002,0.5,Yes,Toxicity value based on less than a lifetime exposure.
107-13-1,Acrylonitrile,HRV,0.000068,0.147058824,Yes,Updated prior to 2008
309-00-2,Aldrin,IRIS,0.0049,0.002040816,Yes,Updated prior to 2005
107-05-1,Allyl chloride,CAL EPA,0.000006,1.666666667,Yes,Toxicity value based on less than a lifetime exposure.
117-79-3,"Aminoanthraquinone, 2-",CAL EPA,0.0000094,1.063829787,Yes,Toxicity value based on less than a lifetime exposure.
62-53-3,Aniline,CAL EPA,0.0000016,6.25,Yes,Toxicity values not based on a lifetime exposure.
140-57-8,Aramite,IRIS,0.0000071,1.408450704,Yes,Updated prior to 2005
71-43-2,Benzene,HRV,0.0000078,1.282051282,Yes,ADAFs were not applied to the inhalation HRV in the RASS
92-87-5,Benzidine,HRV,0.067,0.000149254,Yes,Updated prior to 2008
100-44-7,Benzyl chloride,CAL EPA,0.000049,0.204081633,Yes,Toxicity value based on less than a lifetime exposure.
7440-41-7,Beryllium,HRV,0.0024,0.004166667,Yes,"Exposure study was occupational, adults. (IRIS documentation)"
0-00-3,Beryllium Compounds,HRV,0.0024,0.004166667,Yes,"Exposure study was occupational, adults. (IRIS documentation)"
117-81-7,Bis(2-ethylhexyl)phthalate (DEHP),CAL EPA,0.0000024,4.166666667,Yes,Toxicity values not based on a lifetime exposure.
542-88-1,Bis(chloromethyl)ether,HRV,0.062,0.00016129,Yes,Updated prior to 2008
75-25-2,Bromoform,IRIS,0.0000011,9.090909091,Yes,Updated prior to 2005
7440-43-9,Cadmium,HRV,0.0018,0.005555556,Yes,"Exposure study was occupational, adults. (IRIS documentation)"
0-00-4,Cadmium Compounds,HRV,0.0018,0.005555556,Yes,"Exposure study was occupational, adults, mutagenic studies inconclusive. (IRIS documentation)"
12789-03-6,Chlordane or (57-74-9),IRIS,0.0001,0.1,Yes,Updated prior to 2005
108171-26-2,"Chlorinated Paraffins (C12, 60% Chlorine)",CAL EPA,0.000025,0.4,Yes,Toxicity value based on less than a lifetime exposure.
67-66-3,Chloroform,IRIS,0.000023,0.434782609,Yes,Updated prior to 2005
95-83-0,"Chloro-o-phenylenediamine, 4-",CAL EPA,0.0000046,2.173913043,Yes,Toxicity value based on less than a lifetime exposure.
95-69-2,"Chloro-o-toluidine, p-",CAL EPA,0.000077,0.12987013,Yes,Toxicity value based on less than a lifetime exposure.
18540-29-9,Chromic acid mists and dissolved Cr(VI) aerosols,HRV,0.012,0.000833333,Yes,EPA determined mutagen
7440-47-3,Chromium,HRV,0.012,0.000833333,Yes,"Exposure study was occupational, adults, mutagenic studies inconclusive. (IRIS documentation)"
18540-29-9,Chromium (Hexavalent) (particulate),HRV,0.012,0.000833333,Yes,EPA determined mutagen
0-00-5,Chromium Compounds,HRV,0.012,0.000833333,Yes,EPA determined mutagen
8007-45-2,Coal Tar,HRV,0.00062,0.016129032,Yes,Updated prior to 2008
0-00-7,Coke Oven Emissions,HRV,0.00062,0.016129032,Yes,Updated prior to 2008
120-71-8,"Cresidine, p-",CAL EPA,0.000043,0.23255814,Yes,Toxicity value based on less than a lifetime exposure.
135-20-6,Cupferron,CAL EPA,0.000063,0.158730159,Yes,Toxicity value based on less than a lifetime exposure.
50-29-3,DDT,IRIS,0.000097,0.103092784,Yes,Updated prior to 2005
615-05-4,"Diaminoanisole, 2,4-",CAL EPA,0.0000066,1.515151515,Yes,Toxicity value based on less than a lifetime exposure.
103-33-3,"Diazene, Diphenyl",IRIS,0.000031,0.322580645,Yes,Updated prior to 2005
96-12-8,"Dibromo-3-chloropropane, 1,2-",CAL EPA,0.002,0.005,Yes,Toxicity value based on less than a lifetime exposure.
764-41-0,"Dichloro-2-butene, 1,4-",PPRTV,0.0042,0.002380952,Yes,Positive mutagenicity tests. 
1476-11-5,"Dichloro-2-butene, cis-1,4-",PPRTV,0.0042,0.002380952,Yes,Positive mutagenicity tests. 
106-46-7,"Dichlorobenzene(p), 1,4-",CAL EPA,0.000011,0.909090909,Yes,Toxicity value based on less than a lifetime exposure.
25321-22-6,Dichlorobenzenes,CAL EPA,0.000011,0.909090909,Yes,Toxicity value based on less than a lifetime exposure.
91-94-1,"Dichlorobenzidene, 3,3-",CAL EPA,0.00034,0.029411765,Yes,Toxicity value based on less than a lifetime exposure.
111-44-4,Dichloroethyl ether (Bis(2-chloroethyl)ethe,IRIS,0.00033,0.03030303,Yes,Updated prior to 2005
542-75-6,"Dichloropropene, 1,3-",IRIS,0.000004,2.5,Yes,Updated prior to 2005
60-57-1,Dieldrin,IRIS,0.0046,0.002173913,Yes,Updated prior to 2005
60-11-7,Dimethyl aminoazobenzene,CAL EPA,0.0013,0.007692308,Yes,Toxicity value based on less than a lifetime exposure.
121-14-2,"Dinitrotoluene, 2,4-",CAL EPA,0.000089,0.112359551,Yes,Toxicity value based on less than a lifetime exposure.
122-66-7,"Diphenylhydrazine, 1,2-",IRIS,0.00022,0.045454545,Yes,Updated prior to 2005
106-89-8,"Epichlorohydrin (l-Chloro-2,3-epoxypropane)",HRV,0.0000012,8.333333333,Yes,Updated prior to 2008
51-79-6,Ethyl carbamate (Urethane),CAL EPA,0.00029,0.034482759,Yes,Toxicity value based on less than a lifetime exposure.
106-93-4,Ethylene dibromide (Dibromoethane),HRV,0.00022,0.045454545,Yes,Updated prior to 2008
107-06-2,"Ethylene dichloride (1,2-Dichloroethane)",IRIS,0.000026,0.384615385,Yes,Updated prior to 2005
75-21-8,Ethylene oxide,CAL EPA,0.000088,0.113636364,Yes,Toxicity value based on less than a lifetime exposure.
96-45-7,Ethylene thiourea,CAL EPA,0.000013,0.769230769,Yes,Toxicity value based on less than a lifetime exposure.
75-34-3,"Ethylidene dichloride (1,1-Dichloroethane)",CAL EPA,0.0000016,6.25,Yes,Toxicity values not based on a lifetime exposure.
50-00-0,Formaldehyde,MDH,0.000005,2,Yes,EPA Toxicological review (3/17/2010)
76-44-8,Heptachlor,IRIS,0.0013,0.007692308,Yes,Updated prior to 2005
1024-57-3,Heptachlor epoxide,IRIS,0.0026,0.003846154,Yes,Updated prior to 2005
118-74-1,Hexachlorobenzene,IRIS,0.00046,0.02173913,Yes,Updated prior to 2005
